评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Toothsquatch,Super Comfy!,https://www.amazon.com/gp/customer-reviews/R30XRUGR6JJU7Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 9, 2024",Size: SmallColor: 2 Green,Verified Purchase,"Took a little longer to arrive, but it was worth the wait.  The material is soft and very comfortable.  It has washed well and didn't appear to shrink much in the length. Wife loves to wear with jeans or leggings.  It was a great value and the color is true to the picture.",
lw,Love this,https://www.amazon.com/gp/customer-reviews/R15ORPUNQ1EMWO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 8, 2024",Size: X-LargeColor: 8 Chicory Coffee,Verified Purchase,This is an awesome top. Very light and thin but so warm.  I ordered an XL and it’s huge but I loved it so kept it and reordered 2 more size lg. it’s a great top and looks great with my leggings!,3
Mag,Better then expected,https://www.amazon.com/gp/customer-reviews/R14EXUX3WZ3YBD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 7, 2024",Size: LargeColor: 6 Khaki,Verified Purchase,"Delivery was fast! I really like this sweater. The quality is good , it’s not too thick and it doesn’t get hung up on your jewelry. It’s oversized so very comfortable and cute with jeans or leggings! I would recommend",8
Catherine L Merski,True to size and Comfortable,https://www.amazon.com/gp/customer-reviews/ROB8HB4SQZU6U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," December 7, 2024",Size: X-LargeColor: 4 Black,Verified Purchase,"Love everything about this , fit, weight, etc except that it's a lint magnet.",
Kindle Customer,Great fit,https://www.amazon.com/gp/customer-reviews/R3SZTFDVURR67J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 4, 2024",Size: LargeColor: 1 Red,Verified Purchase,Perfect got to cover enough. Looks cute with jeans or legging and super comfy,
rebecca f.,No,https://www.amazon.com/gp/customer-reviews/R1UUN3N6PMB1LX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," December 4, 2024",Size: XX-LargeColor: 7 Dark Grey,Verified Purchase,This sweater is not what I thought it would be. It’s heavy and you need to wear something under it. Not very flattering.,
disneytothemax,This company needs a quality assurance department,https://www.amazon.com/gp/customer-reviews/RPCOZE8JMRHRO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," December 3, 2024",Size: MediumColor: 3 Gray,Verified Purchase,First off this sweater is very thin and lacking in quality.  Second it was defective around the collar and around the bottom. Returned,
Kellymarie Giese,Buyer beware,https://www.amazon.com/gp/customer-reviews/R3J8KZFBGTWRQC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," December 3, 2024",Size: X-LargeColor: 8 Chicory Coffee,Verified Purchase,"Definitely cute, but extremely see through.. returned",
Traci Gracey,This is my second color,https://www.amazon.com/gp/customer-reviews/R3H68NB58XR47S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 30, 2024",Size: X-LargeColor: 4 Black,Verified Purchase,I really wish that they were packed better I had to hunt down the first one and it was a bit damp but I kept it and wore it and I love the colors,
Michael Ashby,Snags so easily,https://www.amazon.com/gp/customer-reviews/RA6V2ZAZN26OU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," November 30, 2024",Size: MediumColor: 1 Red,Verified Purchase,"I love the fabric, and length. It’s so soft! But the fabric snags so easy and pulls leaving strings hanging out.",
Angela Stephens,Really liked fit until it fell apart,https://www.amazon.com/gp/customer-reviews/R9X64S6CKT1JK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," November 24, 2024",Size: X-LargeColor: 3 Gray,Verified Purchase,Nice fit & soft. But sadly wore it only twice before it had holes in it :( Would not order again and past the date of return,
Sandy Farlow,Horrible,https://www.amazon.com/gp/customer-reviews/R34W741WFL8EYR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," November 24, 2024",Size: XX-LargeColor: 3 Gray,Verified Purchase,Shirt artived with several snags.  Can't even wear it. Completely awful. So disappointing.,
NC Customer,Very Thin. No free return,https://www.amazon.com/gp/customer-reviews/R1Y0EV2BUO6S93/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," November 22, 2024",Size: XX-LargeColor: 9 Dark Green,Verified Purchase,"The mesh is a very open weave. You can see right through it.  It would be required to wear something under it....unless you want a see-through top. This is fulfilled by the seller and on return instructions it states: ""This order is fulfilled by the seller. We do not provide free returns, except for the return of goods with quality problems."" So beware if you are used to free returns. which most of us are.",2
S Hoffman,Good quality - runs smaller,https://www.amazon.com/gp/customer-reviews/R1M8AVVH96N1B7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," November 22, 2024",Size: SmallColor: 3 Gray,Verified Purchase,"Great fabric, very soft. Runs a little small. I wanted it oversized so I’ll be sizing up. For reference, I ordered a small, I’m 135 lbs.",6
Charlotte Howard,Fits like a glove,https://www.amazon.com/gp/customer-reviews/R2L4KF3GYZOXO2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 22, 2024",Size: X-LargeColor: 3 Gray,Verified Purchase,"But not tight. It’s loose, comfy, soft and I loved it so much I bought another one! 🖤",2
Amazon Customer,I must like them!,https://www.amazon.com/gp/customer-reviews/R2JVG41522M0IP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 18, 2024",Size: XX-LargeColor: 9 Rose Red,Verified Purchase,"Perfect tops for leggings, long enough to cover everything that needs covering.  I must like them, I've bought two more since purchasing my first one!  Pink, tan and gray-they are all great!",
The Campbells,Nice long sweater,https://www.amazon.com/gp/customer-reviews/R1PZH8A6LKD5V3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," November 17, 2024",Size: LargeColor: 8 Chicory Coffee,Verified Purchase,"I love the length of the sweater and it’s very cozy, but not too heavy. I only wish it didn’t snag so easily.",
johnna,love,https://www.amazon.com/gp/customer-reviews/R36469XUFFCZAY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 15, 2024",Size: X-LargeColor: 6 Khaki,Verified Purchase,true to size! love the feel.. would buy again,
pegi garber,Fabric Not as described,https://www.amazon.com/gp/customer-reviews/R3CIBRXINCW7QR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," November 14, 2024",Size: XX-LargeColor: 6 Khaki,Verified Purchase,Fabric was very very flimsy. Very cheaply made. Not what I expected poor quality,
Lou Guinn,My Favorite,https://www.amazon.com/gp/customer-reviews/R10KAONTWSTM7O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 12, 2024",Size: LargeColor: 6 Khaki,Verified Purchase,"This shirt is hands down my favorite shirt in my closet right now. It is so stinking comfortable. It is a see through in the Cream/Tan color but a simple tank top underneath with suffice. The fabric is on the thinner side but the fit, length and value are really impressive.",4
