评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Ruth Jesso,150th Anniversary Historic Shawnee Cemetery.,https://www.amazon.com/gp/customer-reviews/R1VXYRAKS1VFMB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," February 9, 2023",Size: 14Color: White,Verified Purchase,Beautiful  blouse it is better than I expected,
Kat,Love this shirt get many compliments,https://www.amazon.com/gp/customer-reviews/RSRT569HFGM8E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 31, 2023",Size: 14Color: White,Verified Purchase,"I love the fit and feel, the fabric seems high end.  Much appreciate this shirt.  Tried to submit photo but wouldn’t work.  Looks amazing",
Audrey,cute and comfy,https://www.amazon.com/gp/customer-reviews/RG3BBNQZVTELG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 26, 2023",Size: 2Color: White,Verified Purchase,"i used this shirt for a decades dance my school had, super cute and comfy.  didn’t restrict my motion at all, and i got tons of compliments.",
Lisa,Such a versatile blouse,https://www.amazon.com/gp/customer-reviews/RHXS3OANISCE3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 23, 2023",Size: 16Color: White,Verified Purchase,Love this blouse.  The ruffled collar is so pretty peeking out under a sweater.  the fit is perfect !,
Debra Mertens,"Lovely looking blouse, just my style",https://www.amazon.com/gp/customer-reviews/R9HQ2EJ24L6TB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 21, 2023",Size: 18Color: White,Verified Purchase,This blouse is exactly my style. I love the neckline. It fits well.  The only thing I don't like it that I have to handwash it. The buttons are nice. Sleeve length good.,
Kelly,Sleeves are a bit short.,https://www.amazon.com/gp/customer-reviews/R2ZT6ZB7ABI8O6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"4.0 "," the United States "," December 28, 2022",Size: 8Color: Black,Verified Purchase,"Nice quality and very polished look. The sleeves could be a bit longer and the waist more fitted, but has an overall tailored look.",2
Elizabeth Moak,Elegant and warm,https://www.amazon.com/gp/customer-reviews/R7LK84PI4IKGI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," December 27, 2022",Size: 4Color: Black,Verified Purchase,This elegant blouse makes a wonderful addition and is warm and comfortable. The lace is well done.,
P. R. Strauss,"Perfect fit, well made",https://www.amazon.com/gp/customer-reviews/R2F9JJPO5HZI7S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," December 5, 2022",Size: 20Color: Spread Collar White,Verified Purchase,"This is really beautiful and well made. It fits perfectly. I ordered size ""20"" and I normally wear a L or XL shirt.",
buyer,Nice design. Sleeves short.,https://www.amazon.com/gp/customer-reviews/R3GCI1212QPYCM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"3.0 "," the United States "," November 27, 2022",Size: 2Color: Black,Verified Purchase,Sleeve length not long enough. I am petite and the sleeves did not cover my wrists. Shirt fits well in all other areas.,
Two Weeks,Excellent for costumes,https://www.amazon.com/gp/customer-reviews/R1X4R6RUCDPEQO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," November 23, 2022",Size: 18Color: White,Verified Purchase,I bought this for a suffragette costume I was working on and it worked well. It fits good and the material isn't too light. Absolutely love it!,
Gino,comfy,https://www.amazon.com/gp/customer-reviews/R34IO2L3QSP3SV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"4.0 "," the United States "," November 15, 2022",Size: 14Color: White,Verified Purchase,"beautiful dress blouse, can wear with a suit and not look manly!",
