评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Yana,Great product,https://www.amazon.com/gp/customer-reviews/RBR3HGP8R080R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"5.0 "," the United States "," February 21, 2024",Size: XX-LargeColor: 2-blue,Verified Purchase,Order a size up for a looser fit!,2
Michael l.,Does not fit true to size,https://www.amazon.com/gp/customer-reviews/R3STIUKMQUXDUR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," February 19, 2024",Size: XX-LargeColor: 1-black,Verified Purchase,I ordered an XXL. It most definitely wasn’t a xxl there’s not size tags either so you can prove what size it was. I was very disappointed in this product will be returning.,
REGINALD N. PORTER,3xl isn't an 3xl,https://www.amazon.com/gp/customer-reviews/R5SSGUCILAVZ2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," February 18, 2024",Size: 3X-LargeColor: 1-black,Verified Purchase,THE HOODIE SAYS 3XL AND IT'S REALLY AN LARGE. THIS IS AN RIP OFF. THIS IS NOT FOR BIG AND TALL.,3
Jacob S,Jacket quality,https://www.amazon.com/gp/customer-reviews/R37L7CCP5TYAZ3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"5.0 "," the United States "," February 14, 2024",Size: LargeColor: 2-red,Verified Purchase,"jacket was great quality, arrived on time, and matched well",8
Karen Forrest,Zipper defective won't stay Zip. Ruff to zip up,https://www.amazon.com/gp/customer-reviews/R7NRT0V18IABP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"2.0 "," the United States "," February 14, 2024",Size: X-LargeColor: 1-white,Verified Purchase,Nice sweat jacket but Zipper defective won't stay Zip. Ruff to zip up,
Nita,Not a good quality,https://www.amazon.com/gp/customer-reviews/R23IZ6GPOI5YF9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," February 13, 2024",Size: 3X-LargeColor: 2-red,Verified Purchase,The material was cheap looking and the size was off,
MAUDIS K.,Quality not good,https://www.amazon.com/gp/customer-reviews/R1QUK270FCA2W8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," February 7, 2024",,Verified Purchase,"Not true to size, zipper kept sticking… cheaply made. Would not buy again. Returned with no problem",2
eli,quality is trash,https://www.amazon.com/gp/customer-reviews/R2NZW6VH9WC0SG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," February 1, 2024",Size: MediumColor: 2-blue,Verified Purchase,quality is trash,
Protus,Very good,https://www.amazon.com/gp/customer-reviews/RK9ERK9JQXLPS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"5.0 "," the United States "," January 11, 2024",Size: SmallColor: 1-black,Verified Purchase,I love it,4
Stephen Mcnally,,https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hEIeoJHu7YRnFS0n5gFdEXbmF0lM2%2BwT1q94rpPt%2BUmZAAAAAGeUD3MAAAAB&reviewId=R24JMHC40PWGGX,"3.0 "," the United Kingdom "," January 12, 2025",Size: X-LargeColor: 1-black,Verified Purchase,Ordered xxl this was really small more like a medium,
